#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_10_length_160932_cov_55.679848	120276	121409	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.77	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_11_length_148427_cov_52.863134	15159	15791	cardnewid_816	1-633/633	===============	0/0	100.00	99.37	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_12_length_137164_cov_55.926514	41311	42033	cardnewid_1255	1-723/723	===============	0/0	100.00	99.86	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_12_length_137164_cov_55.926514	42030	43433	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.93	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_12_length_137164_cov_55.926514	44846	47923	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.34	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_12_length_137164_cov_55.926514	47924	51046	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.30	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_12_length_137164_cov_55.926514	51046	52293	cardnewid_360	1-1248/1248	===============	0/0	100.00	99.92	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_12_length_137164_cov_55.926514	107123	108289	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.23	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_16_length_99255_cov_58.533354	6766	10359	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.14	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_16_length_99255_cov_58.533354	10364	10978	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_16_length_99255_cov_58.533354	11502	12557	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.15	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
80cbdb5c-d062-48c2-ae3e-d8023fc2bb1a_1_contigs.fa	NODE_16_length_99255_cov_58.533354	12557	14095	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.57	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
