#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_10_length_200569_cov_54.649692	37140	37523	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_10_length_200569_cov_54.649692	74102	74426	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_10_length_200569_cov_54.649692	74418	74776	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_11_length_189448_cov_63.316448	130289	133402	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.39	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_11_length_189448_cov_63.316448	164636	164718	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_13_length_175845_cov_76.014462	112522	113988	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_13_length_175845_cov_76.014462	113985	116036	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_13_length_175845_cov_76.014462	116036	117067	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_13_length_175845_cov_76.014462	146283	147926	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_14_length_173899_cov_63.012593	40739	41411	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_15_length_171046_cov_64.787441	70528	71721	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_15_length_171046_cov_64.787441	71744	74893	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.78	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_15_length_171046_cov_64.787441	159762	160919	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_17_length_129192_cov_78.537513	53666	55039	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_1_length_470658_cov_61.984583	31578	35171	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.30	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
625e939e-1179-44fa-a02f-ffd3f640154e_1_contigs.fa	NODE_1_length_470658_cov_61.984583	35176	35790	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
