#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_25_length_69509_cov_53.588878	57051	57406	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_52_length_17197_cov_73.874241	2607	3853	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_54_length_12510_cov_59.946915	1552	2208	resfindernewid_2750	1-657/657	===============	0/0	100.00	100.00	resfinderformatted	002750	resfinderformatted~~~resfindernewid_2750~~~002750
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_54_length_12510_cov_59.946915	6382	7218	resfindernewid_41	1-837/837	===============	0/0	100.00	99.88	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_54_length_12510_cov_59.946915	7218	8021	resfindernewid_239	1-804/804	===============	0/0	100.00	99.88	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_54_length_12510_cov_59.946915	8082	8897	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_5_length_183160_cov_51.965376	79687	80919	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_73_length_2361_cov_68.324869	1445	1612	resfindernewid_159	1-175/972	===...../......	3/7	17.28	96.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
e89cdb35-b6d3-4467-becb-ed8cc0b1dc2d_1_contigs.fa	NODE_73_length_2361_cov_68.324869	1619	2101	resfindernewid_2984	1-483/483	===============	0/0	100.00	99.59	resfinderformatted	002984	resfinderformatted~~~resfindernewid_2984~~~002984
