#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_10_length_203287_cov_29.925594	139929	140261	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_11_length_174744_cov_38.217213	26819	28462	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_11_length_174744_cov_38.217213	57678	58709	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_11_length_174744_cov_38.217213	58709	60760	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_11_length_174744_cov_38.217213	60757	62223	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.75	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_12_length_174112_cov_32.453495	132609	133281	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_13_length_173974_cov_37.634778	163441	164103	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_13_length_173974_cov_37.634778	164502	165659	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_13_length_173974_cov_37.634778	165671	168775	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.49	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
0a0c39e3-22b0-433f-aa5c-b16610b8041a_1_contigs.fa	NODE_15_length_160342_cov_34.559118	130278	131816	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
