#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_10_length_189314_cov_29.046946	130050	133163	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.46	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_10_length_189314_cov_29.046946	164423	164505	cardnewid_1960	1-83/1305	=..............	0/0	6.36	96.39	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_11_length_166083_cov_32.085003	26342	27985	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.30	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_11_length_166083_cov_32.085003	57200	58231	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_11_length_166083_cov_32.085003	58231	60282	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.37	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_11_length_166083_cov_32.085003	60279	61745	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.68	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_12_length_149773_cov_27.358647	108087	109835	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_13_length_143222_cov_28.370317	101268	102500	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_14_length_138900_cov_32.273615	74360	75733	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
5cce4d51-cc85-41ab-ac33-395ed0413268_1_contigs.fa	NODE_17_length_100787_cov_54.490249	86395	87127	cardnewid_969	105-837/837	.==============	0/0	87.57	99.86	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
