#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_115_length_801_cov_125.080110	1	791	cardnewid_890	1-791/816	===============	0/0	96.94	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_124_length_689_cov_215.763072	1	689	cardnewid_969	105-793/837	.==============	0/0	82.32	99.85	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_12_length_128752_cov_34.399744	126816	127478	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_12_length_128752_cov_34.399744	127877	128675	cardnewid_1353	1-799/1158	===========....	0/0	69.00	100.00	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_14_length_120755_cov_31.493951	9832	10509	cardnewid_2055	1-678/678	===============	0/0	100.00	99.85	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_14_length_120755_cov_31.493951	14471	14614	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_15_length_116689_cov_33.956248	30879	32522	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_15_length_116689_cov_33.956248	62117	63148	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_15_length_116689_cov_33.956248	63148	65199	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_15_length_116689_cov_33.956248	65196	66662	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_16_length_115175_cov_32.465612	65197	66735	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_16_length_115175_cov_32.465612	66752	67924	cardnewid_1650	1-1173/1173	===============	0/0	100.00	100.00	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_16_length_115175_cov_32.465612	68051	68581	cardnewid_1248	1-531/531	===============	0/0	100.00	99.81	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
9ea15dbc-3af8-4a1f-ac06-39f904876134_1_contigs.fa	NODE_177_length_277_cov_58.390000	1	67	cardnewid_890	1-67/816	==.............	0/0	8.21	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
