#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_10_length_220199_cov_44.664109	104215	105183	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_10_length_220199_cov_44.664109	163281	164924	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_11_length_216948_cov_43.343412	85653	86066	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_12_length_214481_cov_47.497085	133769	134926	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.15	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_13_length_199013_cov_50.091869	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_13_length_199013_cov_50.091869	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_13_length_199013_cov_50.091869	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_13_length_199013_cov_50.091869	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.45	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_13_length_199013_cov_50.091869	183380	184012	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_14_length_127712_cov_50.434215	59868	61241	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_15_length_125826_cov_43.476163	43791	45017	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_15_length_125826_cov_43.476163	53649	54857	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_1_length_580458_cov_43.087729	29566	29949	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_1_length_580458_cov_43.087729	380109	380441	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_1_length_580458_cov_43.087729	451848	453256	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_1_length_580458_cov_43.087729	522346	523512	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.57	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_23_length_29945_cov_49.637572	7851	8203	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.70	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_2_length_577096_cov_48.409498	17665	19152	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.05	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_2_length_577096_cov_48.409498	473355	474893	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.38	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_2_length_577096_cov_48.409498	474910	476082	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.38	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_2_length_577096_cov_48.409498	476209	476739	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_4_length_336146_cov_44.949986	99714	100946	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.43	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_4_length_336146_cov_44.949986	211123	212871	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_5_length_265319_cov_50.275729	64477	65610	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.80	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_5_length_265319_cov_50.275729	121460	123103	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.24	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_5_length_265319_cov_50.275729	151283	153261	cardnewid_1932	74-2052/2052	===============	0/0	96.44	97.32	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_5_length_265319_cov_50.275729	153258	154724	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.34	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_6_length_265101_cov_46.058557	5364	8513	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.86	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_6_length_265101_cov_46.058557	8536	9729	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_6_length_265101_cov_46.058557	219141	219813	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_8_length_226987_cov_46.107796	1335	2873	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.79	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_8_length_226987_cov_46.107796	2873	3928	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.63	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_8_length_226987_cov_46.107796	4452	5066	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_8_length_226987_cov_46.107796	5071	8664	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_8_length_226987_cov_46.107796	65309	65391	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_8_length_226987_cov_46.107796	96525	99638	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.62	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_9_length_220750_cov_49.315512	8166	8985	cardnewid_1713	1-820/822	===============	0/0	99.76	98.41	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_9_length_220750_cov_49.315512	210217	210879	cardnewid_486	1-663/663	===============	0/0	100.00	97.44	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_9_length_220750_cov_49.315512	211278	212435	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.27	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
5fcc7bd4-da81-4076-91e6-5ca04d82cd17_1_contigs.fa	NODE_9_length_220750_cov_49.315512	212447	215551	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.00	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
