#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_10_length_186538_cov_44.147007	24730	24812	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_10_length_186538_cov_44.147007	56072	59185	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_12_length_179291_cov_45.042006	48774	49304	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_12_length_179291_cov_45.042006	49431	50603	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_12_length_179291_cov_45.042006	50620	52158	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_13_length_172660_cov_42.574500	131024	131696	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_14_length_169184_cov_43.702023	10755	11912	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_14_length_169184_cov_43.702023	96773	99922	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_14_length_169184_cov_43.702023	99945	101138	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_15_length_147230_cov_48.402866	131167	132300	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_16_length_134919_cov_37.045438	78333	78665	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_17_length_132397_cov_49.875559	74155	75528	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_18_length_117520_cov_40.614247	64353	65761	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	20947	22113	cardnewid_912	1-1167/1167	===============	0/0	100.00	82.86	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	80440	81687	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	81687	84809	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.77	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	84810	87887	cardnewid_1236	1-3078/3078	===============	0/0	100.00	97.04	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	89300	90703	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	90700	91421	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	227290	228933	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	286828	287796	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	396401	397939	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	397939	398994	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	399518	400132	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_1_length_435302_cov_41.306313	400137	403730	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.19	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_27_length_29924_cov_50.340637	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_2_length_422292_cov_41.357493	65320	66528	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_2_length_422292_cov_41.357493	75157	76383	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_2_length_422292_cov_41.357493	201181	202929	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_2_length_422292_cov_41.357493	281226	282458	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_3_length_364954_cov_46.884136	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.46	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_3_length_364954_cov_46.884136	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_3_length_364954_cov_46.884136	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_3_length_364954_cov_46.884136	210378	211197	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_3_length_364954_cov_46.884136	238715	240202	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.98	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_4_length_348235_cov_38.190707	37966	38349	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_4_length_348235_cov_38.190707	76002	76326	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_4_length_348235_cov_38.190707	76318	76676	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_6_length_236693_cov_38.895751	109689	110102	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_8_length_219951_cov_49.111373	29626	31269	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_8_length_219951_cov_49.111373	60484	61515	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_8_length_219951_cov_49.111373	61515	63566	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
b971862c-3933-4bd1-a597-beb006be791e_1_contigs.fa	NODE_8_length_219951_cov_49.111373	63563	65029	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
