#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_10_length_186504_cov_53.489548	24731	24813	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_10_length_186504_cov_53.489548	56047	59160	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.62	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_11_length_181047_cov_55.719357	130166	131704	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_11_length_181047_cov_55.719357	131721	132893	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_11_length_181047_cov_55.719357	133020	133550	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_12_length_160741_cov_50.169864	53858	54530	cardnewid_2055	1-673/678	===============	0/0	99.26	95.39	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_13_length_158854_cov_65.798705	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.62	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_13_length_158854_cov_65.798705	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_13_length_158854_cov_65.798705	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_14_length_156948_cov_46.345590	94591	95312	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_14_length_156948_cov_46.345590	95309	96712	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_14_length_156948_cov_46.345590	98125	101202	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_14_length_156948_cov_46.345590	101203	104325	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_14_length_156948_cov_46.345590	104325	105572	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_16_length_124092_cov_70.317712	66813	68180	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
80ab435c-3e5c-4234-bb62-de59923844d6_1_contigs.fa	NODE_1_length_484728_cov_47.148168	130760	131968	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
