#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_15_length_114806_cov_44.790471	99653	100885	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.46	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_20_length_108161_cov_46.743320	95177	95599	resfindernewid_2341	1-423/423	===============	0/0	100.00	94.09	resfinderformatted	002341	resfinderformatted~~~resfindernewid_2341~~~002341
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_23_length_97378_cov_45.606797	21066	21421	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_35_length_52220_cov_107.250216	8028	9274	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_69_length_4540_cov_100.494062	86	922	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_69_length_4540_cov_100.494062	922	1725	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_69_length_4540_cov_100.494062	1786	2601	resfindernewid_2808	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002808	resfinderformatted~~~resfindernewid_2808~~~002808
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_74_length_2931_cov_102.009973	687	866	resfindernewid_159	1-187/972	===...../......	3/7	18.52	93.58	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_74_length_2931_cov_102.009973	872	1445	resfindernewid_3064	1-570/570	========/======	3/4	100.00	98.78	resfinderformatted	003064	resfinderformatted~~~resfindernewid_3064~~~003064
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_74_length_2931_cov_102.009973	1889	2755	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
5e3c3d86-7429-4e0d-be4c-cc2aad74eec0_1_contigs.fa	NODE_88_length_1823_cov_109.915789	433	1293	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
