#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_10_length_198633_cov_41.510264	107237	108469	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_11_length_184382_cov_46.429316	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_11_length_184382_cov_46.429316	177279	178436	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.74	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_11_length_184382_cov_46.429316	178461	181574	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_11_length_184382_cov_46.429316	181937	182665	cardnewid_2042	1-729/729	===============	0/0	100.00	94.79	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_11_length_184382_cov_46.429316	183033	183857	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_12_length_177050_cov_42.490318	8240	8912	cardnewid_2055	1-673/678	===============	0/0	99.26	97.33	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_13_length_170519_cov_43.775589	77	590	cardnewid_1960	792-1305/1305	.........======	0/0	39.39	98.83	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_13_length_170519_cov_43.775589	31708	34821	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.00	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
bf12019c-37dd-4daa-b2a2-c7ecfa250048_1_contigs.fa	NODE_13_length_170519_cov_43.775589	56102	56578	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
