gene	allele	cov	pc	ctgs	depth	hetmin	hets
adk	ND	.	.	.	.	.	.
fumC	ND	.	.	.	.	.	.
gyrB	192*	51.09	91.49	1	7.1	.	.
icd	507*	100.0	91.31	2	5.6	.	.
mdh	ND	.	.	.	.	.	.
purA	15*	73.43	90.6	1	6.8	.	.
recA	142*	99.41	93.89	1	15.5	.	.
