#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_10_length_177410_cov_32.120716	34028	34352	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_10_length_177410_cov_32.120716	34344	34702	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_11_length_148453_cov_36.525348	6097	7323	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_11_length_148453_cov_36.525348	140111	141859	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.57	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_12_length_136594_cov_38.288675	118355	119323	cardnewid_1968	1-969/969	===============	0/0	100.00	97.94	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_14_length_129154_cov_34.942724	2696	3904	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.01	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_15_length_127500_cov_44.839370	4706	6193	cardnewid_776	1-1488/1488	===============	0/0	100.00	97.92	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_17_length_119163_cov_37.361428	32512	33744	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.84	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_19_length_107982_cov_50.127946	433	1257	cardnewid_80	1-825/825	===============	0/0	100.00	93.70	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_19_length_107982_cov_50.127946	1626	2354	cardnewid_2042	1-729/729	===============	0/0	100.00	97.12	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_19_length_107982_cov_50.127946	2717	5830	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.91	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_19_length_107982_cov_50.127946	5855	7012	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_1_length_350337_cov_41.939071	121926	123083	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.32	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_1_length_350337_cov_41.939071	209346	212495	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_1_length_350337_cov_41.939071	212518	213711	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_1_length_350337_cov_41.939071	324416	324748	cardnewid_2240	1-333/333	===============	0/0	100.00	99.40	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_21_length_103524_cov_41.914865	53755	54285	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_21_length_103524_cov_41.914865	54412	55584	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
1d9542b2-cf4a-4d6e-9851-ed7dd38d0126_1_contigs.fa	NODE_21_length_103524_cov_41.914865	55601	57139	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.51	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
