#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_10_length_185861_cov_39.999914	126212	126887	cardnewid_2055	1-676/678	===============	0/0	99.71	95.12	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_11_length_184248_cov_39.679673	116055	117248	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_11_length_184248_cov_39.679673	117271	120420	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_12_length_147328_cov_40.045331	31572	35165	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_12_length_147328_cov_40.045331	35170	35784	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_12_length_147328_cov_40.045331	36308	37363	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_12_length_147328_cov_40.045331	37363	38901	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.40	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_12_length_147328_cov_40.045331	140655	141623	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_13_length_139729_cov_41.198214	133704	135242	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_13_length_139729_cov_41.198214	135259	136431	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_13_length_139729_cov_41.198214	136558	137088	cardnewid_1248	1-531/531	===============	0/0	100.00	99.25	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_14_length_137226_cov_38.359952	97349	98575	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_14_length_137226_cov_38.359952	107206	108414	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_16_length_130056_cov_39.903254	104083	105240	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_17_length_106939_cov_46.573029	65623	66996	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_1_length_343066_cov_37.795617	320462	320820	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_1_length_343066_cov_37.795617	320812	321136	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_20_length_97714_cov_36.742710	19078	19554	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_20_length_97714_cov_36.742710	40259	43372	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_20_length_97714_cov_36.742710	74793	76097	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_24_length_77237_cov_37.853616	59395	59778	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_35_length_38863_cov_45.107049	6418	7650	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_3_length_275924_cov_39.121604	22232	23398	cardnewid_912	1-1167/1167	===============	0/0	100.00	99.74	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_3_length_275924_cov_39.121604	77545	78792	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_3_length_275924_cov_39.121604	78792	81914	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.70	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_3_length_275924_cov_39.121604	81915	84992	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.26	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_3_length_275924_cov_39.121604	86405	87808	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.08	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
d2a03bcf-37ff-4875-a77f-8347bf25a870_1_contigs.fa	NODE_3_length_275924_cov_39.121604	87805	88526	cardnewid_1255	1-722/723	===============	0/0	99.86	96.68	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
